file	article_id	action	detail
articles.csv	2e5b66665d81	removed	collected_at=2026-09-03 23:30:17
articles.csv	f753dad98b0d	removed	collected_at=2026-09-03 23:30:47
articles.csv	ff61dc3667ec	removed	collected_at=2026-09-03 23:30:53
articles.csv	87ffb44fdc9f	removed	collected_at=2026-09-03 23:31:31
articles.csv	882da8f44bda	removed	collected_at=2026-09-03 23:31:32
articles.csv	48f32095df02	removed	collected_at=2026-09-03 23:31:32
articles.csv	41f7f0afeb8b	removed	collected_at=2026-09-03 23:31:34
articles.csv	a550fc00297e	removed	collected_at=2026-09-03 23:31:45
articles.csv	8eb25277ec97	removed	collected_at=2026-09-03 23:31:48
articles.csv	486d4aa1d66e	removed	collected_at=2026-09-03 23:31:49
articles.csv	753856d710aa	removed	collected_at=2026-09-03 23:32:02
articles.csv	378b3caf3e3f	removed	collected_at=2026-09-03 23:32:05
articles.csv	4de5fdd6251e	removed	collected_at=2026-09-03 23:32:05
articles.csv	d7814198ceaa	removed	collected_at=2026-09-03 23:32:06
articles.csv	bb2533eced10	removed	collected_at=2026-09-03 23:32:06
articles.csv	6d99b790f3ac	removed	collected_at=2026-09-03 23:32:11
articles.csv	fccb2b137920	removed	collected_at=2026-09-03 23:32:11
articles.csv	e8d5e291904f	removed	collected_at=2026-09-03 23:32:13
articles.csv	7a6ac6862af8	removed	collected_at=2026-09-03 23:32:17
articles.csv	20980141d7a9	removed	collected_at=2026-09-03 23:32:19
articles.csv	4a1dee38ef31	removed	collected_at=2026-09-03 23:32:21
articles.csv	34dc7f8312e2	removed	collected_at=2026-09-03 23:32:21
articles.csv	80e1268b0ed2	removed	collected_at=2026-09-03 23:32:21
articles.csv	59273018f437	removed	collected_at=2026-09-03 23:32:21
articles.csv	97d93cae0ce8	removed	collected_at=2026-09-03 23:32:21
articles.csv	fdb8f355b03c	removed	collected_at=2026-09-03 23:32:30
articles.csv	ba29593d7e93	removed	collected_at=2026-09-03 23:32:34
